,마명,기록,거리,일자,습도,S1화롱,G3화롱,G1화롱,성별,나이,부중,기수,훈련량(분),새기록
11247,시대영웅,1:13.6,900,2016-07-29,4,17,48.7,17.5,거,8,51.5,안득수,580,73.6
11248,시대영웅,1:16.9,900,2018-05-19,9,17,51.4,18.6,거,8,52.0,문현진,523,76.9
11249,시대영웅,1:17.6,900,2017-02-24,10,17,52.0,18.9,거,8,51.0,김대연,1003,77.6
11250,시대영웅,1:20.1,900,2019-08-31,6,19,53.5,20.3,거,8,55.5,유미라,986,80.1
11251,시대영웅,1:27.6,1000,2019-05-03,4,17,53.3,17.9,거,8,56.5,유미라,442,87.6
11252,시대영웅,1:30.7,1000,2019-05-31,8,18,56.3,21.4,거,8,55.5,유미라,434,90.7
11253,시대왕,1:08.2,800,2019-02-28,9,17,44.2,14.9,수,3,56.0,문현진,123,68.2
11254,시대왕,1:10.2,900,2019-03-09,10,16,46.8,16.2,수,3,55.0,문현진,303,70.2
11255,시대의별,1:57.5,1610,2014-02-15,14,16,44.1,15.2,수,6,52.5,김이랑,123,117.5
11256,시대정신,1:25.1,800,2014-05-30,4,19,6.6,21.6,거,4,57.0,김주희,123,85.1
11257,시무상,1:01.3,800,2016-11-12,9,17,44.5,16.0,수,14,55.0,이재웅,950,61.3
11258,시무상,1:09.8,900,2017-08-26,6,17,45.6,16.0,수,14,57.5,박성광,1264,69.8
11259,시무상,1:20.5,1000,2019-02-23,12,17,48.2,16.4,수,14,57.0,권진영,1220,80.5
11260,시무상,1:18.8,1000,2016-05-13,6,17,47.3,17.0,수,14,54.0,김대연,1691,78.8
11261,시무상,1:19.7,1000,2017-09-08,7,17,47.4,16.5,수,14,58.5,박성광,730,79.7
11262,시무상,1:20.6,1000,2016-12-09,3,17,48.3,17.1,수,14,56.5,이재웅,945,80.6
11263,시무상,1:20.2,1000,2017-04-01,15,17,48.2,16.9,수,14,56.0,문성호,1824,80.2
11264,시무상,1:20.5,1000,2015-10-24,5,17,48.1,16.8,수,14,55.0,이재웅,123,80.5
11265,시무상,1:19.9,1000,2016-09-24,5,17,47.6,16.9,수,14,55.0,장우성,855,79.9
11266,시무상,1:19.5,1000,2014-04-11,4,17,47.4,16.6,수,14,63.5,전현준,123,79.5
11267,시무상,1:19.9,1000,2015-08-22,11,17,47.1,16.7,수,14,56.5,이재웅,123,79.9
11268,시무상,1:20.0,1000,2015-03-21,8,17,48.2,17.0,수,14,59.5,문성호,123,80.0
11269,시무상,1:31.3,1110,2016-11-26,7,18,49.4,16.8,수,14,56.0,이재웅,738,91.3
11270,시무상,1:28.8,1110,2018-12-22,14,18,47.5,16.5,수,14,56.0,문현진,1346,88.8
11271,시무상,1:31.1,1110,2017-03-11,6,18,48.8,17.0,수,14,55.5,문성호,1014,91.1
11272,시무상,1:31.4,1110,2015-02-07,14,18,49.5,17.3,수,14,60.0,문성호,123,91.4
11273,시무상,1:34.0,1110,2015-10-10,5,19,50.7,17.8,수,14,56.0,이재웅,123,94.0
11274,시무상,1:31.2,1110,2017-12-01,8,18,48.5,16.9,수,14,58.0,박성광,1201,91.2
11275,시무상,1:30.6,1110,2018-06-30,20,18,49.3,18.0,수,14,60.5,박성광,1380,90.6
11276,시무상,1:32.6,1110,2014-12-19,19,18,49.8,16.9,수,14,59.0,김경훈,123,92.6
11277,시무상,1:29.8,1110,2014-05-24,4,18,47.2,15.7,수,14,61.5,권육,123,89.8
11278,시무상,1:30.8,1110,2015-07-24,12,18,47.8,16.3,수,14,57.0,이재웅,123,90.8
11279,시무상,1:30.9,1110,2019-08-03,4,19,48.0,16.3,수,14,55.5,곽용남,737,90.9
11280,시무상,1:30.7,1110,2019-06-01,7,18,49.1,17.3,수,14,51.0,이소연,1097,90.7
11281,시무상,1:29.8,1110,2016-08-06,10,18,48.0,16.4,수,14,54.5,장우성,1074,89.8
11282,시무상,1:31.3,1110,2018-12-29,14,18,49.2,16.3,수,14,56.0,권진영,1217,91.3
11283,시무상,1:31.2,1110,2019-02-02,18,18,48.3,16.3,수,14,57.5,권진영,1067,91.2
11284,시무상,1:29.5,1110,2017-04-22,6,18,48.3,16.8,수,14,57.0,문성호,1290,89.5
11285,시무상,1:32.2,1110,2018-10-20,6,18,50.6,17.8,수,14,55.0,문현진,882,92.2
11286,시무상,1:31.0,1110,2016-03-12,7,18,49.3,17.3,수,14,54.0,문성호,1444,91.0
11287,시무상,1:31.8,1110,2014-02-28,10,19,48.7,15.8,수,14,63.0,장우성,123,91.8
11288,시무상,1:36.5,1200,2014-06-07,8,17,48.0,15.6,수,14,61.0,이재웅,123,96.5
11289,시무상,1:40.4,1200,2018-01-27,17,18,49.7,16.8,수,14,63.0,박성광,669,100.4
11290,시무상,1:41.1,1200,2014-01-24,7,18,49.9,16.9,수,14,62.5,전현준,123,101.1
11291,시무상,1:39.0,1200,2015-07-04,6,17,49.8,17.5,수,14,58.0,이재웅,123,99.0
11292,시무상,1:39.6,1200,2015-12-19,14,17,49.9,16.8,수,14,53.5,장우성,123,99.6
11293,시무상,1:39.7,1200,2019-11-02,4,18,49.7,17.3,수,14,51.5,곽용남,815,99.7
11294,시무상,1:38.4,1200,2019-04-27,8,17,48.0,16.1,수,14,52.5,문현진,821,98.4
11295,시무상,1:39.5,1200,2018-10-06,20,17,51.4,17.6,수,14,53.0,문현진,791,99.5
11296,시무상,1:39.4,1200,2019-03-23,9,17,49.8,17.4,수,14,58.0,전현준,933,99.4
11297,시무상,1:41.8,1200,2016-10-29,12,17,51.0,17.5,수,14,55.5,안득수,1094,101.8
11298,시무상,1:40.5,1200,2019-06-08,16,17,50.1,17.3,수,14,57.5,전현준,725,100.5
11299,시무상,1:39.9,1200,2019-08-24,7,18,49.1,17.2,수,14,52.5,곽용남,1084,99.9
11300,시무상,1:38.5,1200,2017-07-15,6,17,48.5,16.4,수,14,55.0,문성호,1279,98.5
11301,시무상,1:45.5,1200,2018-05-12,6,18,53.2,18.1,수,14,61.5,박성광,1299,105.5
11302,시무상,1:42.3,1200,2018-11-24,6,18,51.4,16.8,수,14,55.0,권진영,1422,102.3
11303,시오름,1:08.3,800,2018-08-04,12,19,49.6,17.1,거,5,57.0,정명일,721,68.3
11304,시오름,1:09.4,800,2018-06-22,6,19,50.9,18.2,거,5,56.0,정명일,1209,69.4
11305,시오름,1:07.2,800,2018-09-29,8,19,48.5,16.9,거,5,57.5,정명일,506,67.2
11306,시오름,1:11.2,800,2018-01-27,17,18,52.8,18.6,거,5,56.0,정명일,961,71.2
11307,시오름,1:09.7,800,2018-05-12,6,19,50.3,17.2,거,5,55.0,정명일,1002,69.7
11308,시오름,1:09.7,800,2018-03-30,6,19,50.7,17.8,거,5,56.0,정명일,894,69.7
11309,시오름,1:16.7,900,2018-12-15,11,18,50.1,17.6,거,5,51.5,정명일,441,76.7
11310,시오름,1:16.6,900,2018-08-31,6,18,49.8,17.4,거,5,56.0,정명일,500,76.6
11311,시오름,1:15.9,900,2019-01-19,7,18,49.5,17.0,거,5,51.0,정명일,672,75.9
11312,시오름,1:25.4,1000,2019-03-15,6,18,51.4,17.5,거,5,52.0,정명일,717,85.4
11313,시오름,1:26.2,1000,2019-05-24,4,18,52.0,18.0,거,5,52.0,정명일,1212,86.2
11314,시오름,1:27.7,1000,2019-07-20,20,18,52.1,17.4,거,5,56.5,정명일,862,87.7
11315,시오름,1:26.6,1000,2019-04-19,4,18,51.1,17.8,거,5,53.0,권육,791,86.6
11316,시오름,1:36.2,1110,2020-02-14,13,19,51.7,17.9,거,5,53.5,문성호,432,96.2
